Operation_ID,Operator_ID,Operation_type,Operation_timestamp,OHH_code,Location_from,Location_to,Reference_ID,Reference_name,Qty,TKID_code,Order_ID,Operation_status
OP296811,A999999,ORDER,1764565352,670053,,,,,,192143,AZO80483,OK
OP296812,A000127,MOVE,1764565548,361197,PROD,TPA,P00C37,"Edriseur type ""C37""",87,654723,AZO80483,OK
OP296813,A999999,ORDER,1764565569,64181,,,,,,146964,FOD79783,OK
OP296814,A000017,MOVE,1764566110,95704,PROD,TPA,P00X01,"Edriseur luxe ""X01""",34,355366,FOD79783,OK
OP296815,A000017,MOVE,1764566134,120751,TPA,SHIP,P00C37,"Edriseur type ""C37""",87,31198,AZO80483,OK
OP296816,A999999,ORDER,1764566502,385255,,,,,,13273,FOD80307,OK
OP296817,A000133,MOVE,1764566811,734691,PROD,ST20,P00C37,"Edriseur type ""C37""",8,679107,FOD80307,OK
OP296818,A999999,ORDER,1764566817,459990,,,,,,538838,FOD81529,OK
OP296819,A999999,ORDER,1764566922,57428,,,,,,807139,AZO80890,OK
OP296820,A000024,MOVE,1764567101,282610,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",34,682810,FOD79783,OK
OP296821,A000133,MOVE,1764567237,641356,PROD,ST20,P00X99,"Edriseur luxe ""X99""",53,624013,FOD81529,OK
OP296822,A000017,MOVE,1764567292,636987,ST20,QUA,P00C37,"Edriseur type ""C37""",8,44376,FOD80307,OK
OP296823,A000127,MOVE,1764567320,532562,PROD,TPA,P00C18,"Edriseur type ""C18""",96,782709,AZO80890,OK
OP296824,A999999,ORDER,1764567492,740586,,,,,,567870,FOD80009,OK
OP296825,A000024,MOVE,1764567572,552205,TPA,SHIP,P00C18,"Edriseur type ""C18""",96,21046,AZO80890,OK
OP296826,A000106,MOVE,1764568027,246172,PROD,TPA,P00V80,"Edriseur turbo ""V80""",40,412076,FOD80009,OK
OP296827,A999999,ORDER,1764568323,411378,,,,,,637996,GAA79796,OK
OP296828,A999999,ORDER,1764568391,673476,,,,,,596795,FOD80991,OK
OP296829,A999999,ORDER,1764568403,581061,,,,,,255892,FOD81871,OK
OP296830,A000127,MOVE,1764568413,249746,QUA,ST20,P00C37,"Edriseur type ""C37""",8,406820,FOD80307,OK
OP296831,A000127,MOVE,1764568444,360798,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",40,108876,FOD80009,OK
OP296832,A000017,MOVE,1764568522,520822,PROD,ST20,P00X25,"Edriseur nouveau ""2025""",2,504970,FOD80991,OK
OP296833,A000024,MOVE,1764568689,254965,PROD,ST10,P00C27,"Edriseur type ""C27""",107,561728,FOD81871,OK
OP296834,A000133,MOVE,1764568741,290463,PROD,ST10,P00X99,"Edriseur luxe ""X99""",5,294512,GAA79796,OK
OP296835,A000106,MOVE,1764568798,428080,ST20,QUA,P00X99,"Edriseur luxe ""X99""",53,552379,FOD81529,OK
OP296836,A999999,ORDER,1764568929,464654,,,,,,247135,SMP80485,OK
OP296837,A000017,MOVE,1764568934,700344,ST20,TPA,P00C37,"Edriseur type ""C37""",8,15060,FOD80307,OK
OP296838,A999999,ORDER,1764568945,33088,,,,,,151803,AZO80401,OK
OP296839,A000017,MOVE,1764568978,543223,ST20,QUA,P00X25,"Edriseur nouveau ""2025""",2,478968,FOD80991,OK
OP296840,A000127,MOVE,1764569072,711152,PROD,ST10,P00C13,"Edriseur type ""C13""",3,220858,SMP80485,OK
OP296841,A000017,MOVE,1764569175,686216,ST10,TPA,P00X99,"Edriseur luxe ""X99""",5,528910,GAA79796,OK
OP296842,A000127,MOVE,1764569187,766296,TPA,SHIP,P00C37,"Edriseur type ""C37""",8,221527,FOD80307,OK
OP296843,A000127,MOVE,1764569209,374024,QUA,ST20,P00X99,"Edriseur luxe ""X99""",53,231529,FOD81529,OK
OP296844,A999999,ORDER,1764569215,777892,,,,,,320794,FOD80675,OK
OP296845,A000024,MOVE,1764569244,777711,PROD,ST10,P00C27,"Edriseur type ""C27""",13,168703,AZO80401,OK
OP296846,A000127,MOVE,1764569286,207845,ST10,TPA,P00C27,"Edriseur type ""C27""",107,176571,FOD81871,OK
OP296847,A000024,MOVE,1764569381,192288,ST10,TPA,P00C13,"Edriseur type ""C13""",3,216637,SMP80485,OK
OP296848,A000127,MOVE,1764569389,521066,QUA,ST20,P00X25,"Edriseur nouveau ""2025""",2,79714,FOD80991,OK
OP296849,A000017,MOVE,1764569457,435273,TPA,SHIP,P00C27,"Edriseur type ""C27""",107,161413,FOD81871,OK
OP296850,A000127,MOVE,1764569564,30330,ST20,TPA,P00X25,"Edriseur nouveau ""2025""",2,143911,FOD80991,OK
OP296851,A000017,MOVE,1764569728,557929,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",2,311592,FOD80991,OK
OP296852,A000128,MOVE,1764569731,745515,TPA,SHIP,P00C13,"Edriseur type ""C13""",3,791824,SMP80485,OK
OP296853,A000024,MOVE,1764569781,171013,ST10,TPA,P00C27,"Edriseur type ""C27""",13,335408,AZO80401,OK
OP296854,A000127,MOVE,1764569937,176682,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",5,707234,GAA79796,OK
OP296855,A000017,MOVE,1764569968,239625,PROD,ST10,P00C14,"Edriseur type ""C14""",95,581063,FOD80675,OK
OP296856,A000024,MOVE,1764570219,445509,TPA,SHIP,P00C27,"Edriseur type ""C27""",13,160125,AZO80401,OK
OP296857,A000017,MOVE,1764570260,204330,ST20,TPA,P00X99,"Edriseur luxe ""X99""",53,373039,FOD81529,OK
OP296858,A999999,ORDER,1764570511,777682,,,,,,510203,SMP80736,OK
OP296859,A000062,MOVE,1764570579,209146,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",53,579374,FOD81529,OK
